"project_id","project_year","currently_requested_funds","plan_id","plan_name","global_clusters","organisation_ids","organisation_names","question","answer"
52598,2018,"1200000",5684,"Tchad Plan de Réponse Humanitaire 2018","Nutrition","8501","Action Contre la Faim - France","% qui contribue à la réponse aux besoins dans le Sud?","0"
52598,2018,"1200000",5684,"Tchad Plan de Réponse Humanitaire 2018","Nutrition","8501","Action Contre la Faim - France","% qui contribue à la crise sécurité alimentaire et malnutrition","100"
52598,2018,"1200000",5684,"Tchad Plan de Réponse Humanitaire 2018","Nutrition","8501","Action Contre la Faim - France","% qui contribue à la crise urgence sanitaire","0"
52598,2018,"1200000",5684,"Tchad Plan de Réponse Humanitaire 2018","Nutrition","8501","Action Contre la Faim - France","% qui contribue à la réponse à la crise des réfugiés soudanais à","0"
52598,2018,"1200000",5684,"Tchad Plan de Réponse Humanitaire 2018","Nutrition","8501","Action Contre la Faim - France","% qui contribue à la réponse aux besoins dans le reste du pays?","100"
52598,2018,"1200000",5684,"Tchad Plan de Réponse Humanitaire 2018","Nutrition","8501","Action Contre la Faim - France","% qui contribue à l’OS 2 : Renforcer la résilience","30"
52598,2018,"1200000",5684,"Tchad Plan de Réponse Humanitaire 2018","Nutrition","8501","Action Contre la Faim - France","% qui contribue à l’OS 3 : Protection des personnes affectées","10"
52598,2018,"1200000",5684,"Tchad Plan de Réponse Humanitaire 2018","Nutrition","8501","Action Contre la Faim - France","Indicators and targets","Indicators
•	6240 d’enfants MAS pris en charge dans les structures de santé
•	45 agents de santé formés sur le protocole national/redevabilité et protection transversale
•	95 % des enfants dépistés référés et admis dans les CS
•	45% des accouchements assistées par du personnel qualifié 
•	80 % de consultations Prénatales de la première visite
•	5895 mères et pères ayant bénéficié de sensibilisation sur les actions essentielles de Nutrition et la non-discrimination
•	1200 (800 F-400 M) formés sur la redevabilité, la protection transversale, et la gestion des plaintes/feedbacks sur les bonnes pratiques d’hygiène
•	72 séance de sensibilisation réalisée communauté
•	6 sensibilisations pour le personnel de santé sur la redevabilité et mécanisme de plaintes
•	100% de projets ayant mis en place un mécanisme de plaintes efficaces et confidentiels.

Targets
•	7128 (3635 F-3493 M) enfants de 6-59mois MAS prise en charge dans les UNA
Taux de guérison >85%
Taux de décès <10%
Taux d’abandon <15%
•	42255 (21550 F- 20705 M) enfants de -59mois bénéficiant des consultations curatives 
•	21379 (10903 F- 10476 M) enfants de 0-59mois bénéficiant des consultations préventives
•	11881 (6059 F- 5822 M) femmes et hommes  ayant été sensibilisés
•	2763 Femme enceintes ayant accès aux CPN
•	45 (15F -30 M) agents de santé formés ou recyclés sur le protocole national
•	45 (15F -30 M) agents de santé formés sur la redevabilité et protection transversale
"
53596,2018,"536123",5717,"Occupied Palestinian Territory Humanitarian Response Strategy 2018","Coordination and support services","4399","Food and Agriculture Organization of the United Nations","Project Grouping 2","NOT SPECIFIED"
53596,2018,"536123",5717,"Occupied Palestinian Territory Humanitarian Response Strategy 2018","Coordination and support services","4399","Food and Agriculture Organization of the United Nations","Project Grouping 1","Coordination and Support Services"
53596,2018,"536123",5717,"Occupied Palestinian Territory Humanitarian Response Strategy 2018","Coordination and support services","4399","Food and Agriculture Organization of the United Nations","Custom Location","Projects covering both West Bank and Gaza"
53596,2018,"536123",5717,"Occupied Palestinian Territory Humanitarian Response Strategy 2018","Coordination and support services","4399","Food and Agriculture Organization of the United Nations","Project Priority","NOT SPECIFIED"
53596,2018,"536123",5717,"Occupied Palestinian Territory Humanitarian Response Strategy 2018","Coordination and support services","4399","Food and Agriculture Organization of the United Nations","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
53507,2018,"3095479",5717,"Occupied Palestinian Territory Humanitarian Response Strategy 2018","Food Security","4399","Food and Agriculture Organization of the United Nations","Project Grouping 2","NOT SPECIFIED"
53507,2018,"3095479",5717,"Occupied Palestinian Territory Humanitarian Response Strategy 2018","Food Security","4399","Food and Agriculture Organization of the United Nations","Project Grouping 1","Food Security Sector"
53507,2018,"3095479",5717,"Occupied Palestinian Territory Humanitarian Response Strategy 2018","Food Security","4399","Food and Agriculture Organization of the United Nations","Custom Location","Projects covering both West Bank and Gaza"
53507,2018,"3095479",5717,"Occupied Palestinian Territory Humanitarian Response Strategy 2018","Food Security","4399","Food and Agriculture Organization of the United Nations","Project Priority","NOT SPECIFIED"
53507,2018,"3095479",5717,"Occupied Palestinian Territory Humanitarian Response Strategy 2018","Food Security","4399","Food and Agriculture Organization of the United Nations","Gender Marker","2b-The principal purpose of the project is to advance gender equality"
55173,2018,"120986006",1128,"Syria Humanitarian Response Plan 2018","Emergency Shelter and NFI","4397","United Nations High Commissioner for Refugees","Project Grouping 1","Shelter / NFI"
55173,2018,"120986006",1128,"Syria Humanitarian Response Plan 2018","Emergency Shelter and NFI","4397","United Nations High Commissioner for Refugees","Project Grouping 2","NOT SPECIFIED"
55173,2018,"120986006",1128,"Syria Humanitarian Response Plan 2018","Emergency Shelter and NFI","4397","United Nations High Commissioner for Refugees","Subset Of Plan","W"
55173,2018,"120986006",1128,"Syria Humanitarian Response Plan 2018","Emergency Shelter and NFI","4397","United Nations High Commissioner for Refugees","Project Priority","NOT SPECIFIED"
55173,2018,"120986006",1128,"Syria Humanitarian Response Plan 2018","Emergency Shelter and NFI","4397","United Nations High Commissioner for Refugees","Gender Marker","1-The project is designed to contribute in some limited way to gender equality"
55456,2018,"74275748",1128,"Syria Humanitarian Response Plan 2018","Education","2915","United Nations Children's Fund","Project Grouping 1","Education"
55456,2018,"74275748",1128,"Syria Humanitarian Response Plan 2018","Education","2915","United Nations Children's Fund","Project Priority","NOT SPECIFIED"
55456,2018,"74275748",1128,"Syria Humanitarian Response Plan 2018","Education","2915","United Nations Children's Fund","Project Grouping 2","NOT SPECIFIED"
55456,2018,"74275748",1128,"Syria Humanitarian Response Plan 2018","Education","2915","United Nations Children's Fund","Subset Of Plan","W"
55456,2018,"74275748",1128,"Syria Humanitarian Response Plan 2018","Education","2915","United Nations Children's Fund","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
55552,2018,"1293050",1128,"Syria Humanitarian Response Plan 2018","Early Recovery","4293","United Nations Population Fund","Project Grouping 2","NOT SPECIFIED"
55552,2018,"1293050",1128,"Syria Humanitarian Response Plan 2018","Early Recovery","4293","United Nations Population Fund","Project Grouping 1","Early Recovery and Livelihoods"
55552,2018,"1293050",1128,"Syria Humanitarian Response Plan 2018","Early Recovery","4293","United Nations Population Fund","Project Priority","NOT SPECIFIED"
55552,2018,"1293050",1128,"Syria Humanitarian Response Plan 2018","Early Recovery","4293","United Nations Population Fund","Subset Of Plan","X"
55552,2018,"1293050",1128,"Syria Humanitarian Response Plan 2018","Early Recovery","4293","United Nations Population Fund","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
54865,2018,"980000",1128,"Syria Humanitarian Response Plan 2018","Early Recovery","5305","United Nations Industrial Development Organization","Subset Of Plan","X"
54865,2018,"980000",1128,"Syria Humanitarian Response Plan 2018","Early Recovery","5305","United Nations Industrial Development Organization","Project Grouping 1","Early Recovery and Livelihoods"
54865,2018,"980000",1128,"Syria Humanitarian Response Plan 2018","Early Recovery","5305","United Nations Industrial Development Organization","Gender Marker","1-The project is designed to contribute in some limited way to gender equality"
55368,2018,"2975000",1128,"Syria Humanitarian Response Plan 2018","Early Recovery","4931","United Nations Human Settlements Programme (UN-HABITAT)","Project Grouping 1","Early Recovery and Livelihoods"
55368,2018,"2975000",1128,"Syria Humanitarian Response Plan 2018","Early Recovery","4931","United Nations Human Settlements Programme (UN-HABITAT)","Project Grouping 2","NOT SPECIFIED"
55368,2018,"2975000",1128,"Syria Humanitarian Response Plan 2018","Early Recovery","4931","United Nations Human Settlements Programme (UN-HABITAT)","Project Priority","NOT SPECIFIED"
55368,2018,"2975000",1128,"Syria Humanitarian Response Plan 2018","Early Recovery","4931","United Nations Human Settlements Programme (UN-HABITAT)","Subset Of Plan","X"
55368,2018,"2975000",1128,"Syria Humanitarian Response Plan 2018","Early Recovery","4931","United Nations Human Settlements Programme (UN-HABITAT)","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
55493,2018,"109263337",1128,"Syria Humanitarian Response Plan 2018","Food Security","3049","World Food Programme","Project Grouping 1","Food Security"
55493,2018,"109263337",1128,"Syria Humanitarian Response Plan 2018","Food Security","3049","World Food Programme","Project Grouping 2","NOT SPECIFIED"
55493,2018,"109263337",1128,"Syria Humanitarian Response Plan 2018","Food Security","3049","World Food Programme","Subset Of Plan","W"
55493,2018,"109263337",1128,"Syria Humanitarian Response Plan 2018","Food Security","3049","World Food Programme","Project Priority","NOT SPECIFIED"
55493,2018,"109263337",1128,"Syria Humanitarian Response Plan 2018","Food Security","3049","World Food Programme","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
55207,2018,"34371863",1128,"Syria Humanitarian Response Plan 2018","Nutrition","3049","World Food Programme","Project Grouping 1","Nutrition"
55207,2018,"34371863",1128,"Syria Humanitarian Response Plan 2018","Nutrition","3049","World Food Programme","Project Grouping 2","NOT SPECIFIED"
55207,2018,"34371863",1128,"Syria Humanitarian Response Plan 2018","Nutrition","3049","World Food Programme","Project Priority","NOT SPECIFIED"
55207,2018,"34371863",1128,"Syria Humanitarian Response Plan 2018","Nutrition","3049","World Food Programme","Subset Of Plan","W"
55207,2018,"34371863",1128,"Syria Humanitarian Response Plan 2018","Nutrition","3049","World Food Programme","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
55194,2018,"27342181",1128,"Syria Humanitarian Response Plan 2018","Education","3049","World Food Programme","Project Priority","NOT SPECIFIED"
55194,2018,"27342181",1128,"Syria Humanitarian Response Plan 2018","Education","3049","World Food Programme","Project Grouping 2","NOT SPECIFIED"
55194,2018,"27342181",1128,"Syria Humanitarian Response Plan 2018","Education","3049","World Food Programme","Subset Of Plan","W"
55194,2018,"27342181",1128,"Syria Humanitarian Response Plan 2018","Education","3049","World Food Programme","Project Grouping 1","Education"
55194,2018,"27342181",1128,"Syria Humanitarian Response Plan 2018","Education","3049","World Food Programme","Gender Marker","1-The project is designed to contribute in some limited way to gender equality"
55190,2018,"31897412",1128,"Syria Humanitarian Response Plan 2018","Education","3035","United Nations Relief and Works Agency for Palestine Refugees in the Near East","Subset Of Plan","X"
55190,2018,"31897412",1128,"Syria Humanitarian Response Plan 2018","Education","3035","United Nations Relief and Works Agency for Palestine Refugees in the Near East","Project Grouping 1","Education"
55190,2018,"31897412",1128,"Syria Humanitarian Response Plan 2018","Education","3035","United Nations Relief and Works Agency for Palestine Refugees in the Near East","Project Grouping 2","NOT SPECIFIED"
55190,2018,"31897412",1128,"Syria Humanitarian Response Plan 2018","Education","3035","United Nations Relief and Works Agency for Palestine Refugees in the Near East","Project Priority","NOT SPECIFIED"
55190,2018,"31897412",1128,"Syria Humanitarian Response Plan 2018","Education","3035","United Nations Relief and Works Agency for Palestine Refugees in the Near East","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
55191,2018,"14376720",1128,"Syria Humanitarian Response Plan 2018","Health","3035","United Nations Relief and Works Agency for Palestine Refugees in the Near East","Subset Of Plan","X"
55191,2018,"14376720",1128,"Syria Humanitarian Response Plan 2018","Health","3035","United Nations Relief and Works Agency for Palestine Refugees in the Near East","Project Priority","NOT SPECIFIED"
55191,2018,"14376720",1128,"Syria Humanitarian Response Plan 2018","Health","3035","United Nations Relief and Works Agency for Palestine Refugees in the Near East","Project Grouping 1","Health"
55191,2018,"14376720",1128,"Syria Humanitarian Response Plan 2018","Health","3035","United Nations Relief and Works Agency for Palestine Refugees in the Near East","Project Grouping 2","NOT SPECIFIED"
55191,2018,"14376720",1128,"Syria Humanitarian Response Plan 2018","Health","3035","United Nations Relief and Works Agency for Palestine Refugees in the Near East","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
53713,2018,"1248100",5689,"Niger Plan de Réponse Humanitaire 2018","Emergency Shelter and NFI","2915","United Nations Children's Fund","Subset Of Plan","Lake Chad Basin"
53713,2018,"1248100",5689,"Niger Plan de Réponse Humanitaire 2018","Emergency Shelter and NFI","2915","United Nations Children's Fund","Project Priority","High"
53713,2018,"1248100",5689,"Niger Plan de Réponse Humanitaire 2018","Emergency Shelter and NFI","2915","United Nations Children's Fund","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
52714,2018,"1843647",5684,"Tchad Plan de Réponse Humanitaire 2018","Emergency Shelter and NFI","2886","Agency for Technical Cooperation and Development","Conditionality","Conditional"
52714,2018,"1843647",5684,"Tchad Plan de Réponse Humanitaire 2018","Emergency Shelter and NFI","2886","Agency for Technical Cooperation and Development","Restriction","Unrestricted"
52714,2018,"1843647",5684,"Tchad Plan de Réponse Humanitaire 2018","Emergency Shelter and NFI","2886","Agency for Technical Cooperation and Development","Estimated percentage of project requirements to be used for cash","33"
52714,2018,"1843647",5684,"Tchad Plan de Réponse Humanitaire 2018","Emergency Shelter and NFI","2886","Agency for Technical Cooperation and Development","Response Type","Cluster"
52714,2018,"1843647",5684,"Tchad Plan de Réponse Humanitaire 2018","Emergency Shelter and NFI","2886","Agency for Technical Cooperation and Development","Is any part of this project cash based intervention?","true"
52714,2018,"1843647",5684,"Tchad Plan de Réponse Humanitaire 2018","Emergency Shelter and NFI","2886","Agency for Technical Cooperation and Development","Lake Chad Basin","false"
52714,2018,"1843647",5684,"Tchad Plan de Réponse Humanitaire 2018","Emergency Shelter and NFI","2886","Agency for Technical Cooperation and Development","% qui contribue à la réponse aux besoins dans le Sud?","100"
52714,2018,"1843647",5684,"Tchad Plan de Réponse Humanitaire 2018","Emergency Shelter and NFI","2886","Agency for Technical Cooperation and Development","Veuillez sélectionner l’analyse qui se rapporte le mieux à votre","1 - Ce projet intègre, de manière modérée, la protection transversale."
52714,2018,"1843647",5684,"Tchad Plan de Réponse Humanitaire 2018","Emergency Shelter and NFI","2886","Agency for Technical Cooperation and Development","% qui contribue à la réponse à la crise des réfugiés soudanais à","0"
52714,2018,"1843647",5684,"Tchad Plan de Réponse Humanitaire 2018","Emergency Shelter and NFI","2886","Agency for Technical Cooperation and Development","% qui contribue à la réponse aux besoins dans le reste du pays?","0"
52714,2018,"1843647",5684,"Tchad Plan de Réponse Humanitaire 2018","Emergency Shelter and NFI","2886","Agency for Technical Cooperation and Development","% qui contribue à la crise sécurité alimentaire et malnutrition","0"
52714,2018,"1843647",5684,"Tchad Plan de Réponse Humanitaire 2018","Emergency Shelter and NFI","2886","Agency for Technical Cooperation and Development","Indicators and targets","1500 ménages ont accès à un logement de base, sûr et digne
70% des ménages bénéficiaires se disent satisfait de leur intégration dans leur lieu de réinsertion à la fin du projet
1500 ménages ont les ressources leur permettant de protéger et reconstruire leurs moyens d’existence 
1500 ménages bénéficiaires impliqués dans les activités de CFW, incluant au moins 50% de femmes 
85% des bénéficiaires appuyés en AGR ont une activité économique viable à la fin du projet
Les bénéficiaires sont informés et ont accès à un mécanisme de gestion des plaintes tout au long du projet"
52714,2018,"1843647",5684,"Tchad Plan de Réponse Humanitaire 2018","Emergency Shelter and NFI","2886","Agency for Technical Cooperation and Development","% qui contribue à la crise urgence sanitaire","0"
52714,2018,"1843647",5684,"Tchad Plan de Réponse Humanitaire 2018","Emergency Shelter and NFI","2886","Agency for Technical Cooperation and Development","% qui contribue à la crise mouvement de population","100"
52714,2018,"1843647",5684,"Tchad Plan de Réponse Humanitaire 2018","Emergency Shelter and NFI","2886","Agency for Technical Cooperation and Development","% qui contribue à l’OS 1 : Sauver des vies","0"
52714,2018,"1843647",5684,"Tchad Plan de Réponse Humanitaire 2018","Emergency Shelter and NFI","2886","Agency for Technical Cooperation and Development","Activities or outputs","1/ Appui à l'intégration sociale des retournés à travers un accès au logement 
a) Plaidoyer et appui à la délivrance des papiers d'identité pour les retournés
b) Plaidoyer pour la mise à disposition de terres pour les retournés
c) Appui à l'auto-construction d’abris semi-durables pour les retournés
d) Organisation d'activités de cohésion sociale et d’intégration communautaire avec les populations hôtes
2/ Appui à l'intégration économique des retournés à travers des activités économiques
a) Mise en oeuvre d'activités communautaires en Cash-for-Work pour l'accès à un revenu immédiat
b) Mise en place d'activités génératrices de revenus (AGR)

N.B : ACTED Tchad a mis en place un mécanisme de feedbacks et de plaintes centralisé au niveau de la coordination du pays et couvrant l’ensemble de ses projets. Ce mécanisme est géré de manière confidentielle par un staff indépendant en capitale. Les plaintes peuvent être communiquées au moyen d’une ligne verte, d’une adresse email et de boîtes à plaintes sur les sites de projet. L’ensemble des plaintes sont adressées dans un délai de 15 jours par la coordination selon les degrés de gravité. Ce mécanisme est présenté en amont des activités de chaque projet aux équipes de mise en œuvre, qui se sont engagés à respecter un code de conduite, ainsi qu’aux bénéficiaires à travers divers moyens de communication.
ACTED privilégie une approche participative à chaque étape de la mise en œuvre du cycle du projet, en particulier lors des évaluations de besoins et de la sélection des bénéficiaires à travers la consultation des différentes parties prenantes. Ceci afin d’assurer une approche inclusive de l’ensemble des bénéficiaires et notamment des populations les vulnérables (femmes, personnes malades, handicapées et/ou personnes âgées).  Au sein de la mission ACTED Tchad, une équipe d’évaluation et de suivi indépendante est formée à cette approche."
52714,2018,"1843647",5684,"Tchad Plan de Réponse Humanitaire 2018","Emergency Shelter and NFI","2886","Agency for Technical Cooperation and Development","% qui contribue à l’OS 2 : Renforcer la résilience","80"
52714,2018,"1843647",5684,"Tchad Plan de Réponse Humanitaire 2018","Emergency Shelter and NFI","2886","Agency for Technical Cooperation and Development","% qui contribue à l’OS 3 : Protection des personnes affectées","20"
52714,2018,"1843647",5684,"Tchad Plan de Réponse Humanitaire 2018","Emergency Shelter and NFI","2886","Agency for Technical Cooperation and Development","Needs","Dans le Sud du Tchad, près de 75 000 retournés tchadiens sont présents dont plus de 75% sont des femmes et des enfants. 63 000 d'entre eux vivent dans des sites et 12 000 dans des villages d'accueil dans les régions du Moyen-Chari, Mandoul, Logone Oriental, Logone Occidental à la frontière avec la RCA.
  
En raison d'une réduction des acteurs et bailleurs humanitaires dans la zone depuis 2016, les standards minimums de plusieurs secteurs (santé, EHA, abris, sécurité alimentaire, protection) se sont progressivement détériorés,  rendant les communautés retournées, les femmes et les enfants tout particulièrement, très vulnérables. L'accès aux services sociaux de base reste un défi majeur et la couverture d'accès aux services d'hygiène et assainissement est très basse tant dans les sites (30%) que dans les villages d'accueil (15%) pour les retournés. De plus, les abris d'urgence construits en 2014 n'offrent plus les conditions de logement décent et de nombreux abris sont régulièrement détruits par les vents ou les pluies violents dans les sites de Djako, Kobiteye, Sido et Maingama. Par ailleurs, la plupart des retournés dans les sites souffrent d'une insécurité alimentaire modérée (48%) ou sévère (6%). Pour couvrir leurs besoins alimentaires, certains retournés ont recours à des stratégies de survie néfastes (vente de biens, retrait des enfants de l'école, etc.). Depuis le début de l'année 2017, plusieurs centaines de retournés se seraient déplacées vers des camps de réfugiés dans l'espoir de recevoir une assistance humanitaire, bien ques les réfugiés soient eux-mêmes confrontés à une diminution des rations alimentaires.
A ces besoins s’additionne le manque d’opportunités économiques et de moyens de subsistance pour des populations à majorité d'origine urbaine. Ces besoins ont été exacerbés après les destructions engendrées par les inondations de 2017.
Enfin le manque de délivrance de papier d'identité reste un problème majeur pour l'intégration économique et sociale de ces retournés, faute de mise en oeuvre et de financement du plan de réinsertion des retournés du gouvernement. Un plaidoyer et un accompagnement des retournés pour cet accès à des documents d'identité est donc primordial afin de garantir leur intégration durable, au regard des faibles intentions de retour vers la RCA."
52714,2018,"1843647",5684,"Tchad Plan de Réponse Humanitaire 2018","Emergency Shelter and NFI","2886","Agency for Technical Cooperation and Development","Gender Marker","1-The project is designed to contribute in some limited way to gender equality"
55220,2018,"3350000",1128,"Syria Humanitarian Response Plan 2018","Water Sanitation Hygiene","7876","BINAA Organization for Development","Project Grouping 2","NOT SPECIFIED"
55220,2018,"3350000",1128,"Syria Humanitarian Response Plan 2018","Water Sanitation Hygiene","7876","BINAA Organization for Development","Subset Of Plan","Y"
55220,2018,"3350000",1128,"Syria Humanitarian Response Plan 2018","Water Sanitation Hygiene","7876","BINAA Organization for Development","Project Grouping 1","WASH"
55220,2018,"3350000",1128,"Syria Humanitarian Response Plan 2018","Water Sanitation Hygiene","7876","BINAA Organization for Development","Project Priority","NOT SPECIFIED"
55220,2018,"3350000",1128,"Syria Humanitarian Response Plan 2018","Water Sanitation Hygiene","7876","BINAA Organization for Development","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
55249,2018,"3205720",1128,"Syria Humanitarian Response Plan 2018","Emergency Shelter and NFI","7876","BINAA Organization for Development","Project Grouping 1","Shelter / NFI"
55249,2018,"3205720",1128,"Syria Humanitarian Response Plan 2018","Emergency Shelter and NFI","7876","BINAA Organization for Development","Project Grouping 2","NOT SPECIFIED"
55249,2018,"3205720",1128,"Syria Humanitarian Response Plan 2018","Emergency Shelter and NFI","7876","BINAA Organization for Development","Gender Marker","2b-The principal purpose of the project is to advance gender equality"
55249,2018,"3205720",1128,"Syria Humanitarian Response Plan 2018","Emergency Shelter and NFI","7876","BINAA Organization for Development","Project Priority","NOT SPECIFIED"
55249,2018,"3205720",1128,"Syria Humanitarian Response Plan 2018","Emergency Shelter and NFI","7876","BINAA Organization for Development","Subset Of Plan","Y"
55507,2018,"3750000",1128,"Syria Humanitarian Response Plan 2018","Food Security","7876","BINAA Organization for Development","Project Grouping 1","Food Security"
55507,2018,"3750000",1128,"Syria Humanitarian Response Plan 2018","Food Security","7876","BINAA Organization for Development","Project Priority","NOT SPECIFIED"
55507,2018,"3750000",1128,"Syria Humanitarian Response Plan 2018","Food Security","7876","BINAA Organization for Development","Subset Of Plan","Y"
55507,2018,"3750000",1128,"Syria Humanitarian Response Plan 2018","Food Security","7876","BINAA Organization for Development","Project Grouping 2","NOT SPECIFIED"
55507,2018,"3750000",1128,"Syria Humanitarian Response Plan 2018","Food Security","7876","BINAA Organization for Development","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
55355,2018,"3800000",1128,"Syria Humanitarian Response Plan 2018","Education","7876","BINAA Organization for Development","Project Grouping 2","NOT SPECIFIED"
55355,2018,"3800000",1128,"Syria Humanitarian Response Plan 2018","Education","7876","BINAA Organization for Development","Subset Of Plan","Y"
55355,2018,"3800000",1128,"Syria Humanitarian Response Plan 2018","Education","7876","BINAA Organization for Development","Project Grouping 1","Education"
55355,2018,"3800000",1128,"Syria Humanitarian Response Plan 2018","Education","7876","BINAA Organization for Development","Project Priority","NOT SPECIFIED"
55355,2018,"3800000",1128,"Syria Humanitarian Response Plan 2018","Education","7876","BINAA Organization for Development","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
55092,2018,"14500000",1128,"Syria Humanitarian Response Plan 2018","Early Recovery","2986","International Organization for Migration","Project Priority","NOT SPECIFIED"
55092,2018,"14500000",1128,"Syria Humanitarian Response Plan 2018","Early Recovery","2986","International Organization for Migration","Subset Of Plan","W"
55092,2018,"14500000",1128,"Syria Humanitarian Response Plan 2018","Early Recovery","2986","International Organization for Migration","Project Grouping 2","NOT SPECIFIED"
55092,2018,"14500000",1128,"Syria Humanitarian Response Plan 2018","Early Recovery","2986","International Organization for Migration","Project Grouping 1","Early Recovery and Livelihoods"
55092,2018,"14500000",1128,"Syria Humanitarian Response Plan 2018","Early Recovery","2986","International Organization for Migration","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
56078,2018,"232211167",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","Custom Location","Jordan"
56078,2018,"232211167",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","Project Priority","NOT SPECIFIED"
56078,2018,"232211167",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","Gender Marker","3-Not specified"
56077,2018,"453722310",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","Project Priority","NOT SPECIFIED"
56077,2018,"453722310",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","Custom Location","Lebanon"
56077,2018,"453722310",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","Gender Marker","3-Not specified"
56174,2018,"8146872",5682,"Iraq Humanitarian Response Plan 2018","Protection","4397","United Nations High Commissioner for Refugees","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
56174,2018,"8146872",5682,"Iraq Humanitarian Response Plan 2018","Protection","4397","United Nations High Commissioner for Refugees","Project Priority","High"
55975,2018,"919000",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","2986","International Organization for Migration","Gender Marker","3-Not specified"
55975,2018,"919000",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","2986","International Organization for Migration","Custom Location","Egypt"
55975,2018,"919000",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","2986","International Organization for Migration","Project Priority","NOT SPECIFIED"
56081,2018,"369523424",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","Custom Location","Turkey"
56081,2018,"369523424",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","Project Priority","NOT SPECIFIED"
56081,2018,"369523424",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","4397","United Nations High Commissioner for Refugees","Gender Marker","3-Not specified"
55976,2018,"59850000",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","2986","International Organization for Migration","Custom Location","Turkey"
55976,2018,"59850000",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","2986","International Organization for Migration","Project Priority","NOT SPECIFIED"
55976,2018,"59850000",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","2986","International Organization for Migration","Gender Marker","3-Not specified"
53330,2018,"2962000",5692,"South Sudan Humanitarian Response Plan 2018","Food Security","4695","Adventist Development and Relief Agency","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
53714,2018,"621725",5689,"Niger Plan de Réponse Humanitaire 2018","Nutrition","4309","Cooperazione Internazionale - COOPI","Project Priority","NOT SPECIFIED"
53714,2018,"621725",5689,"Niger Plan de Réponse Humanitaire 2018","Nutrition","4309","Cooperazione Internazionale - COOPI","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
53388,2018,"1080981",5692,"South Sudan Humanitarian Response Plan 2018","Nutrition","2857","Christian Mission Aid","Gender Marker","2a-The project is designed to contribute significantly to gender equality"
53259,2018,"125000",5692,"South Sudan Humanitarian Response Plan 2018","Emergency Shelter and NFI","930","Humanitarian and Development Consortium","Gender Marker","1-The project is designed to contribute in some limited way to gender equality"
54926,2018,"197045",1128,"Syria Humanitarian Response Plan 2018","Education","3293","Dorcas Aid International","Project Grouping 2","NOT SPECIFIED"
54926,2018,"197045",1128,"Syria Humanitarian Response Plan 2018","Education","3293","Dorcas Aid International","Project Grouping 1","Education"
54926,2018,"197045",1128,"Syria Humanitarian Response Plan 2018","Education","3293","Dorcas Aid International","Subset Of Plan","X"
54926,2018,"197045",1128,"Syria Humanitarian Response Plan 2018","Education","3293","Dorcas Aid International","Project Priority","NOT SPECIFIED"
54926,2018,"197045",1128,"Syria Humanitarian Response Plan 2018","Education","3293","Dorcas Aid International","Gender Marker","1-The project is designed to contribute in some limited way to gender equality"
55930,2018,"13647542",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","8484","CARITAS","Custom Location","Jordan"
55930,2018,"13647542",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","8484","CARITAS","Project Priority","NOT SPECIFIED"
55930,2018,"13647542",537,"Syria regional refugee and resilience plan (3RP) 2018","Multi-sector","8484","CARITAS","Gender Marker","3-Not specified"
